dates,areas,areas_smoothed,time
1989-05-30,12.5091,12.3602484964189,0
1990-03-30,12.5973,12.3163557844654,304
1993-06-10,12.6225,12.2641024595973,1472
1993-09-30,7.9902,12.2029754704611,1584
1994-05-12,12.6819,12.1328950811671,1808
1994-05-28,12.6153,12.0535920596961,1824
1994-06-29,12.1932,11.9674165470057,1856
1994-07-31,10.2645,11.8756492927196,1888
1994-09-01,8.2701,11.7807476675817,1920
1995-05-15,12.5145,11.6852369069689,2176
1996-09-06,9.0963,11.5908683053321,2656
1996-09-22,7.8138,11.5016074062934,2672
1997-07-07,12.1896,11.4185255834106,2960
1997-09-09,7.2162,11.3427073123223,3024
1998-05-23,12.7368,11.2745372996803,3280
1998-09-12,8.8191,11.213790720853,3392
1998-09-28,8.8848,11.1594541204553,3408
1998-10-14,7.3125,11.1106141219023,3424
1999-12-04,6.3009,11.0665360191043,3840
2000-01-05,5.6547,11.0256432937923,3872
2000-08-24,9.0981,10.9865488814152,4104
2000-11-28,7.1928,10.9480162686069,4200
2001-03-04,10.3266,10.9090649408756,4296
2001-05-23,12.6162,10.8685109638739,4376
2001-05-31,12.4425,10.8254665728242,4384
2001-07-26,9.6885,10.7787015176556,4440
2001-09-04,8.487,10.7276577431817,4480
2002-06-11,12.6864,10.6715732011302,4760
2002-08-30,9.0711,10.6099001590248,4840
2003-09-02,8.991,10.5423594830995,5208
2004-05-15,11.781,10.4685909238464,5464
2004-06-16,12.1059,10.388830605697,5496
2004-09-04,9.0486,10.3033902433598,5576
2004-11-07,7.5798,10.2129056732172,5640
2005-05-02,12.3174,10.1182918578633,5816
2005-07-21,11.5416,10.0206755994855,5896
2005-08-06,10.5633,9.92149425041533,5912
2005-08-22,10.0701,9.82222671497366,5928
2005-09-07,8.5734,9.72437754309067,5944
2005-09-23,7.2468,9.62984932233367,5960
2006-07-08,11.5272,9.53971996703044,6248
2006-08-09,9.0279,9.45543368082134,6280
2006-08-25,8.0883,9.3782119419477,6296
2006-09-10,8.136,9.30930690505054,6312
2007-04-22,11.9808,9.24938322707039,6536
2007-06-09,12.6666,9.19909446317052,6584
2007-07-11,11.223,9.15900302110644,6616
2007-08-28,8.0613,9.12946631691769,6664
2007-09-13,7.3656,9.11067339860616,6680
2007-09-29,6.1515,9.1027090067572,6696
2008-06-27,10.9206,9.10523787728191,6968
2008-07-05,10.0719,9.11805669649513,6976
2008-07-29,7.9488,9.14059085737881,7000
2008-08-14,8.0118,9.17221212634789,7016
2008-08-30,8.1477,9.21209997116989,7032
2008-09-15,7.1109,9.25897343844865,7048
2008-12-04,6.7077,9.3118457194931,7128
2009-07-16,12.312,9.36964263440099,7352
2009-07-24,12.2535,9.43095444915291,7360
2009-08-25,10.6704,9.49468361805186,7392
2009-11-21,7.4034,9.55912990753097,7480
2010-06-01,12.7215,9.62315489669938,7672
2010-07-03,12.6846,9.68542589047765,7704
2010-07-19,12.5586,9.74440798631184,7720
2010-07-27,12.492,9.79925284441841,7728
2010-08-20,11.4111,9.84868007525733,7752
2010-09-05,10.3896,9.89134521389073,7768
2010-11-16,7.3881,9.92666514975265,7840
2011-04-25,12.6099,9.95398679786526,8000
2011-05-03,12.645,9.97328157237451,8008
2011-07-14,11.3535,9.98449025926957,8080
2011-08-07,7.938,9.98763210237507,8104
2011-08-15,9.2169,9.98351876421925,8112
2011-08-23,8.1612,9.97286707114483,8120
2011-10-02,7.1883,9.95674073429005,8160
2012-07-08,12.5631,9.93573863428903,8440
2012-08-25,9.9396,9.91089932123271,8488
2012-12-31,6.543,9.88323057700572,8616
2013-04-30,12.6621,9.85350845793532,8736
2013-05-16,12.6873,9.82246439920764,8752
2013-06-01,12.7062,9.79097144194863,8768
2013-06-09,12.6963,9.75946422132609,8776
2013-06-25,12.3192,9.72861086151328,8792
2013-07-03,12.663,9.69910072553455,8800
2013-08-28,9.5049,9.67189436156693,8856
2013-09-05,9.441,9.64726479504751,8864
2013-09-13,7.7067,9.62559859459387,8872
2013-09-29,6.9444,9.60802812829045,8888
2013-10-07,5.751,9.5951511660999,8896
2013-10-15,5.8644,9.58752038906939,8904
2013-11-08,8.2566,9.58563739565031,8928
2013-12-26,6.4449,9.58995820827339,8976
2014-02-28,9.6867,9.60061606041891,9040
2014-04-01,12.2814,9.61792856717181,9072
2014-05-03,12.5604,9.64170742621898,9104
2014-07-22,11.5632,9.67161633900341,9184
2014-08-07,9.4221,9.70701960671935,9200
2014-09-16,9.1512,9.74712428356938,9240
2014-11-11,7.9335,9.79103889333802,9296
2014-12-13,9.4725,9.83763524024132,9328
2015-01-14,7.7841,9.88548784422219,9360
2015-03-19,12.0051,9.93302207941548,9424
2015-04-12,12.5649,9.97897093530852,9448
2015-05-22,12.6657,10.0219621939919,9488
2015-07-09,12.3327,10.0608459681078,9536
2015-08-18,8.5185,10.094250379869,9576
2015-09-27,7.2657,10.1213561130434,9616
2015-10-13,7.4277,10.1416100692353,9632
2015-10-29,8.7984,10.1547251427098,9648
2015-11-30,6.9075,10.1608024588888,9680
2015-12-16,6.6573,10.159833579204,9696
2016-02-26,9.4473,10.1524366868623,9768
2016-03-05,9.9099,10.1395175406915,9776
2016-04-06,12.6081,10.1218740022603,9808
2016-05-08,12.7053,10.1006098831507,9840
2016-06-25,12.5541,10.0766301555027,9888
2016-08-28,8.7822,10.0508271911754,9952
2016-09-21,7.7202,10.0241857725716,9976
