dates,areas,areas_smoothed,time
1989-05-30,2.44000875,2.2372068716121736,0
1990-03-30,1.994544625,2.234996929274705,304
1993-06-10,2.3103905,2.2333363547390825,1472
1993-09-30,2.2738685,2.232299320281946,1584
1994-05-12,2.25149075,2.2319478030406676,1808
1994-05-28,2.22943925,2.232311575486591,1824
1994-06-13,2.17744675,2.233429620522266,1840
1994-06-29,2.45327525,2.23525538666495,1856
1994-07-31,2.37453825,2.237732111802817,1888
1994-09-01,2.3009735,2.240759837372619,1920
1995-05-15,2.17667675,2.2442379649781343,2176
1996-09-06,2.274011,2.247975006584534,2656
1996-09-22,2.23853175,2.2518184989816543,2672
1997-07-07,2.166436,2.255649983305919,2960
1997-09-09,2.2844,2.2593366628559832,3024
1998-05-23,2.4665545,2.262780641394948,3280
1998-08-11,2.2802585,2.265912303344661,3360
1998-09-12,2.2634175,2.2686891428935696,3392
1998-09-28,2.20305,2.271091391046436,3408
1998-10-14,2.18084575,2.27307308472121,3424
1999-09-07,2.270497,2.274689136234377,3752
2000-01-05,1.543259625,2.275985056387836,3872
2000-03-25,1.9019885,2.27694993525996,3952
2000-04-10,2.021616625,2.2776147734490335,3968
2000-05-28,2.414222,2.277966285421294,4016
2000-08-24,2.293504,2.278085898553285,4104
2000-10-27,2.03375275,2.277956490781481,4168
2000-11-28,1.751419375,2.277608650985741,4200
2001-03-04,2.0927225,2.2770425152743003,4296
2001-05-31,2.32616475,2.276260917627583,4384
2001-07-26,2.29789525,2.275271137213544,4440
2001-09-04,2.25508125,2.2740674153160287,4480
2001-09-28,2.18264025,2.2726428055322754,4504
2002-06-11,2.365589,2.2709903984190816,4760
2002-08-30,2.2866345,2.269091907358184,4840
2003-09-02,2.2827865,2.2669334646258106,5208
2003-09-18,2.2347185,2.264498810977225,5224
2004-05-15,2.484736,2.261771329169106,5464
2004-06-16,2.332653,2.2587358444379078,5496
2004-09-04,2.2839955,2.2553802199783153,5576
2005-08-06,2.2974935,2.2516975442212526,5912
2005-08-22,2.289895,2.2476861321529915,5928
2005-09-07,2.2765615,2.2433526945879754,5944
2005-09-23,2.2498985,2.238707540056113,5960
2005-12-12,1.64526725,2.2337964501273238,6040
2006-04-19,2.314778,2.2286291574812527,6168
2006-07-24,2.298163,2.2232571093770552,6264
2006-08-09,2.288061,2.217726957035447,6280
2006-08-25,2.28004125,2.212100526301651,6296
2006-09-10,2.23601225,2.2064290435467178,6312
2007-04-22,2.16136,2.2007837748901338,6536
2007-08-28,2.282575,2.1952368234489286,6664
2007-09-13,2.26880375,2.1898528261938583,6680
2007-09-29,2.23811275,2.1846823007290688,6696
2007-10-15,2.16382875,2.1798166368474816,6712
2008-05-18,2.1854575,2.175312478496938,6928
2008-06-27,2.2867355,2.1712237394532896,6968
2008-07-05,2.2791035,2.167618033783287,6976
2008-07-29,2.2528585,2.164527569835948,7000
