Raw_TermEst,Smoothed,dates,time
2103.62442931419,2088.76871984118,1987-02-03,0
2103.62442931419,2087.89128919906,1987-07-13,160
2103.62442931419,2087.01371750731,1987-07-29,176
2058.31326305083,2086.13573020839,1989-08-03,912
2058.31326305083,2085.26815162226,1989-08-19,928
2013.54129764326,2084.41535915454,1989-12-25,1056
2058.31326305083,2083.57762350786,1990-02-11,1104
2103.62442931419,2082.76366994929,1990-06-03,1216
2103.62442931419,2081.97386319545,1990-06-19,1232
2103.62442931419,2081.20873687104,1990-08-22,1296
2150.42520498753,2080.46987731375,1990-11-26,1392
2058.31326305083,2079.75581038865,1991-10-28,1728
2058.31326305083,2079.06721939576,1991-11-13,1744
2058.31326305083,2078.40007701936,1992-01-16,1808
2058.31326305083,2077.75018814078,1992-07-26,2000
2013.54129764326,2077.1137881661,1992-12-01,2128
2013.54129764326,2076.48526057526,1993-01-18,2176
2058.31326305083,2075.85998916596,1993-07-29,2368
2058.31326305083,2075.23257580315,1993-08-30,2400
2058.31326305083,2074.59692026616,1993-10-01,2432
2058.31326305083,2073.94984715626,1993-10-17,2448
2058.31326305083,2073.2846575711,1994-03-26,2608
2058.31326305083,2072.59843435377,1994-07-16,2720
2058.31326305083,2071.88744764773,1994-10-20,2816
2058.31326305083,2071.1508543613,1994-11-05,2832
2058.31326305083,2070.38823711292,1995-01-24,2912
2058.31326305083,2069.59849639642,1995-03-29,2976
2058.31326305083,2068.78406837411,1995-04-30,3008
2058.31326305083,2067.9485688315,1995-09-21,3152
2058.31326305083,2067.09646834967,1995-11-24,3216
2058.31326305083,2066.23435657796,1996-01-18,3271
2058.31326305083,2065.36894522291,1996-01-27,3280
2058.31326305083,2064.50907343284,1996-07-12,3447
2058.31326305083,2063.66183964949,1996-08-29,3495
2058.31326305083,2062.8367667203,1996-09-23,3520
2058.31326305083,2062.04270575754,1996-10-09,3536
2058.31326305083,2061.28815008444,1996-11-17,3575
2058.31326305083,2060.58091708301,1996-12-12,3600
2058.31326305083,2059.92672256784,1997-01-29,3648
2058.31326305083,2059.33198479834,1997-02-14,3664
2058.31326305083,2058.80208601463,1997-03-02,3680
2058.31326305083,2058.33890702922,1997-03-18,3696
2058.31326305083,2057.94371762658,1997-04-03,3712
2058.31326305083,2057.61630181463,1997-07-08,3808
2058.31326305083,2057.35503854275,1997-07-24,3824
2058.31326305083,2057.15710179316,1997-08-09,3840
2058.31326305083,2057.01864027651,1997-09-26,3888
2058.31326305083,2056.93494713616,1997-10-12,3904
2103.62442931419,2056.90068633392,1998-01-16,4000
2058.31326305083,2056.91021480069,1998-05-24,4128
2058.31326305083,2056.95765235168,1998-07-27,4192
2058.31326305083,2057.03656269388,1998-08-28,4224
2058.31326305083,2057.14424401922,1998-09-13,4240
2103.62442931419,2057.27176335747,1999-02-20,4400
2013.54129764326,2057.41483238766,1999-12-05,4688
2013.54129764326,2057.56983065859,2000-01-22,4736
2058.31326305083,2057.73299294923,2000-01-30,4744
2058.31326305083,2057.90020304891,2000-07-16,4912
2058.31326305083,2058.06845658292,2000-08-09,4936
2058.31326305083,2058.23584766534,2000-09-02,4960
2058.31326305083,2058.39919403637,2001-03-13,5152
2058.31326305083,2058.55720914887,2001-03-29,5168
2058.31326305083,2058.7084540066,2001-08-04,5296
2058.31326305083,2058.85173471591,2001-09-29,5352
2058.31326305083,2058.98610360421,2001-10-23,5376
2058.31326305083,2059.11078994268,2001-11-08,5392
2103.62442931419,2059.22517046064,2001-12-18,5432
2103.62442931419,2059.32873082601,2002-01-03,5448
