dates,areas,areas_smoothed,time
1986-09-27,79.1271,54.6977358502149,0
1986-12-09,30.1257,53.7171202766773,73
1998-03-20,19.9422,52.7394132536962,4192
2000-08-24,69.6879,51.7047605706433,5080
2001-09-04,77.1552,45.9174841349483,5456
2002-03-31,53.5572,22.2553121292662,5664
2002-04-16,91.3032,22.5218285514303,5680
2002-11-02,90.5553,27.2262086044958,5880
2005-07-05,54.675,38.2381551849276,6856
2005-07-13,75.9186,55.1227001164799,6864
2006-08-01,63.0027,68.3549343155294,7248
2007-02-18,13.9239,73.7170443807968,7449
2007-06-25,24.0201,72.396262604105,7576
2008-07-13,42.2568,63.1159552621823,7960
2009-04-27,34.7481,50.9897394409119,8248
2013-05-16,56.0025,42.4902347718876,9728
2013-09-13,84.6216,38.5477460985953,9848
2013-09-29,87.4035,42.7850209312412,9864
2014-06-28,68.5368,59.9186853093995,10136
2016-06-09,56.6955,68.9984159391013,10848
2016-06-25,30.9159,67.1036773705182,10864
2016-09-13,51.1443,61.8948964938048,10944
2017-07-30,66.9375,57.4233768002606,11264
2017-09-16,84.978,52.2136858994002,11312
2019-09-21,1.5993,42.0876068497651,12047
