Raw_TermEst,Smoothed,dates,time
6505.34498730663,6505.34498730663,1986-09-27,0
3642.21625319972,6505.34498730663,1998-03-20,4192
4423.03092046019,6505.34498730663,2000-08-24,5080
4336.25107667427,6432.94861115326,2001-09-04,5456
4596.50866747933,4154.9990317961,2002-03-31,5664
4683.21742790601,3667.66081857347,2002-04-16,5680
4943.53907465553,3731.62613258761,2002-11-02,5880
4683.21742790601,3904.68073882337,2005-07-05,6856
4683.21742790601,4211.33530377755,2005-07-13,6864
4336.25107667427,4465.60769465623,2006-08-01,7248
4336.25107667427,4590.36540485911,2007-06-25,7576
4596.50866747933,4632.64147046021,2008-07-13,7960
4943.53907465553,4593.68084153662,2009-04-27,8248
5463.92375618176,4556.02610148705,2013-09-13,9848
5550.6706286704,4598.72479887966,2013-09-29,9864
5463.92375618176,4768.0306159373,2014-06-28,10136
5463.92375618176,5197.92893709066,2016-06-09,10848
5463.92375618176,5458.04515437328,2016-06-25,10864
5463.92375618176,5503.55777328419,2016-09-13,10944
5724.31042680445,5534.27208218221,2017-07-30,11264
5724.31042680445,5572.45270336652,2017-09-16,11312
