"","dates","areas"
"1","1984-04-07",5.3163
"2","1984-05-18",5.0139
"3","1984-05-25",4.6611
"4","1984-05-27",4.5657
"5","1984-06-03",3.9348
"6","1984-06-26",3.3669
"7","1984-09-16",1.8342
"8","1984-10-25",1.3815
"9","1985-03-02",3.2364
"10","1985-06-29",3.2274
"11","1985-07-24",2.2815
"12","1985-10-05",4.5441
"13","1986-03-14",5.1165
"14","1986-03-30",3.9105
"15","1986-06-02",5.3208
"16","1986-06-25",3.7827
"17","1986-07-04",3.7269
"18","1986-07-20",2.8674
"19","1986-07-27",2.7837
"20","1986-08-28",1.944
"21","1987-03-15",2.9646
"22","1987-05-27",5.1534
"23","1987-06-03",5.3289
"24","1987-07-14",3.8412
"25","1988-02-23",1.4805
"26","1988-03-03",2.8845
"27","1988-06-07",4.4874
"28","1988-07-07",2.6793
"29","1988-07-16",1.953
"30","1988-08-10",1.2816
"31","1988-09-02",1.5075
"32","1988-10-13",0.8109
"33","1989-10-07",2.1357
"34","1990-06-11",4.5702
"35","1990-07-15",4.0203
"36","1991-08-01",2.4822
"37","1991-08-03",2.322
"38","1992-06-02",4.9464
"39","1992-07-18",4.7565
"40","1993-08-08",2.5434
"41","1993-09-25",3.087
"42","1993-10-02",1.8702
"43","1993-10-09",2.0844
"44","1994-05-05",4.9176
"45","1994-08-11",2.2392
"46","1994-08-18",2.0916
"47","1994-08-27",1.692
"48","1994-09-03",3.2661
"49","1994-09-26",4.8375
"50","1995-05-08",5.0472
"51","1995-07-29",2.5704
"52","1995-10-01",2.2968
"53","1995-10-15",1.5156
"54","1996-08-07",2.7036
"55","1996-08-14",1.4517
"56","1997-06-14",4.6179
"57","1997-07-18",2.0358
"58","1997-09-02",1.0854
"59","1997-09-04",0.8784
"60","1998-04-14",5.3802
"61","1998-08-29",1.3977
"62","1999-07-14",1.5534
"63","1999-08-15",3.5055
"64","1999-09-18",0.6939
"65","1999-09-25",0.3861
"66","2000-07-18",3.3588
"67","2000-07-25",2.8197
"68","2000-09-27",1.0413
"69","2000-10-04",0.2835
"70","2000-10-29",1.1241
"71","2001-03-31",4.0275
"72","2001-06-26",3.3768
"73","2001-08-20",0.7695
"74","2002-04-01",4.1112
"75","2002-04-19",4.9518
"76","2002-04-26",5.4279
"77","2002-05-12",5.4279
"78","2002-05-28",4.7547
"79","2002-06-04",4.4226
"80","2002-07-15",2.484
"81","2002-07-31",1.8657
"82","2002-08-09",1.566
"83","2002-08-16",1.5525
"84","2002-08-23",0.4176
"85","2002-08-25",0.3312
