"","dates","areas"
"1","1999-08-08",16.4376
"2","1999-11-12",23.328
"3","1999-12-14",23.0058
"4","2000-02-16",19.0656
"5","2000-06-07",12.5829
"6","2000-12-16",24.8877
"7","2001-01-17",23.8248
"8","2001-02-18",19.9557
"9","2001-03-06",17.7372
"10","2001-03-22",15.6834
"11","2001-04-07",17.4879
"12","2001-06-10",12.2652
"13","2001-08-29",21.2463
"14","2002-01-20",19.449
"15","2002-03-09",16.3836
"16","2002-03-25",17.5131
"17","2002-05-12",11.7225
"18","2002-07-31",14.4693
"19","2003-01-07",24.0687
"20","2003-02-24",24.1146
"21","2003-03-12",18.1026
"22","2003-04-13",14.3325
"23","2003-05-15",14.2434
"24","2003-08-03",14.1408
"25","2003-10-14",28.2123
"26","2003-11-23",24.9075
"27","2003-11-24",15.6132
"28","2003-12-01",27.0387
"29","2003-12-09",23.6511
"30","2004-02-03",19.9296
"31","2004-03-30",16.3503
"32","2004-04-07",18.1836
"33","2004-04-23",13.3281
"34","2004-05-17",11.7792
"35","2004-05-18",5.4657
"36","2004-06-10",11.637
"37","2004-08-22",8.793
"38","2004-08-29",22.3191
"39","2004-09-06",22.3632
"40","2004-09-30",27.4014
"41","2004-10-09",14.6349
"42","2004-11-09",24.7806
"43","2005-01-28",20.3967
"44","2005-02-21",19.0674
"45","2005-03-17",19.0656
"46","2005-04-02",14.9985
"47","2005-06-05",12.8637
"48","2005-06-13",11.9493
"49","2005-06-21",11.6487
"50","2005-07-31",14.6358
"51","2005-08-09",7.5645
"52","2005-08-24",18.5265
"53","2005-08-25",12.7152
"54","2005-09-09",21.114
"55","2005-09-10",15.3216
"56","2005-09-17",25.101
"57","2005-09-25",23.1336
"58","2005-11-28",21.9249
"59","2005-12-30",19.4103
"60","2006-01-31",17.6985
"61","2006-02-08",19.1853
"62","2006-02-16",16.4394
"63","2006-02-24",17.7408
"64","2006-03-04",16.7949
"65","2006-03-12",25.8957
"66","2006-04-13",20.0601
"67","2006-04-29",17.0676
"68","2006-05-15",14.7213
"69","2006-05-31",11.7603
"70","2006-06-24",11.1708
"71","2006-07-26",13.4334
"72","2006-08-03",15.5349
"73","2006-09-12",22.1958
"74","2006-09-13",8.5284
"75","2006-10-31",17.8443
"76","2006-12-09",26.4447
"77","2007-01-02",22.5513
"78","2007-01-03",23.1354
"79","2007-01-26",21.5172
"80","2007-02-03",20.4912
"81","2007-02-04",21.6369
"82","2007-02-11",22.9464
"83","2007-02-19",18.5067
"84","2007-02-20",16.1829
"85","2007-02-27",18.5373
"86","2007-03-07",16.9794
"87","2007-03-23",15.0651
"88","2007-04-08",15.7581
"89","2007-05-26",12.834
"90","2007-06-11",12.0438
"91","2007-07-13",12.0429
"92","2007-08-14",17.2584
"93","2007-11-18",24.7383
"94","2007-11-27",10.1529
"95","2008-01-14",6.0984
"96","2008-03-09",15.6924
"97","2008-04-10",12.6837
"98","2008-06-29",11.9619
"99","2008-11-13",7.2747
"100","2008-12-22",21.1104
"101","2009-01-23",18.1728
"102","2009-01-31",17.7552
"103","2009-04-13",13.7475
"104","2009-04-22",3.3012
"105","2009-05-24",7.8408
"106","2009-05-31",11.8152
"107","2009-06-16",15.3423
"108","2009-08-19",19.0764
"109","2009-09-04",23.058
"110","2009-10-22",25.8705
"111","2009-11-07",25.6851
"112","2009-12-09",24.3207
"113","2010-02-03",19.5741
"114","2010-02-04",8.4897
"115","2010-02-19",17.9379
"116","2010-03-08",7.7967
"117","2010-04-09",5.1336
"118","2010-05-18",12.1356
"119","2010-06-03",11.5326
"120","2010-07-05",11.6622
"121","2010-09-07",22.7718
"122","2010-10-25",26.2107
"123","2010-11-26",22.077
"124","2010-12-28",19.9728
"125","2011-01-13",17.8461
"126","2011-02-14",15.5232
"127","2011-04-19",14.6052
"128","2011-06-06",12.294
"129","2011-08-09",16.7463
"130","2011-11-13",24.8643
"131","2011-11-29",24.0804
"132","2012-01-16",22.6026
"133","2012-03-20",13.8564
"134","2012-04-05",12.8826
"135","2012-04-30",10.3608
"136","2012-05-16",9.3222
"137","2013-05-02",16.641
"138","2013-05-10",14.7663
"139","2013-06-27",12.1347
"140","2013-08-30",21.2427
"141","2013-09-23",25.1604
"142","2013-11-10",27.2124
"143","2013-11-18",24.1326
"144","2013-11-26",24.2811
"145","2013-12-28",22.1814
"146","2014-01-13",22.9869
"147","2014-01-29",20.727
"148","2014-01-30",12.3102
"149","2014-02-06",17.5968
"150","2014-02-15",6.8139
"151","2014-03-10",16.4025
"152","2014-03-26",14.3541
"153","2014-05-29",12.9096
"154","2014-06-22",12.2823
"155","2014-07-16",13.0401
"156","2014-08-25",20.3148
"157","2014-09-02",22.5621
"158","2014-09-26",28.9503
"159","2014-11-13",27.2358
"160","2014-12-15",23.8419
"161","2014-12-31",22.6971
"162","2015-01-24",19.5498
"163","2015-02-09",18.666
"164","2015-02-25",16.5438
"165","2015-03-13",14.6421
"166","2015-03-29",14.9913
"167","2015-04-06",11.8134
"168","2015-04-30",12.5658
"169","2015-07-11",13.5396
"170","2015-08-20",21.231
"171","2015-09-13",24.7095
"172","2015-09-21",24.8778
"173","2015-10-16",6.6672
"174","2015-10-31",26.964
"175","2015-11-08",25.3053
"176","2015-11-17",6.1902
"177","2015-12-10",24.2514
"178","2015-12-18",24.7311
"179","2015-12-26",21.1401
"180","2016-01-03",21.9429
"181","2016-01-04",7.3152
"182","2016-02-04",17.4906
"183","2016-02-05",5.6331
"184","2016-02-12",16.5492
"185","2016-02-20",18.063
"186","2016-03-07",16.2189
"187","2016-03-15",16.0524
"188","2016-04-24",12.8817
"189","2016-05-26",13.4532
"190","2016-06-03",12.8106
"191","2016-06-27",11.9259
"192","2016-07-05",14.5161
"193","2016-08-06",18.6273
"194","2016-08-14",19.7244
"195","2016-08-30",21.7665
"196","2016-09-23",24.2172
"197","2016-10-25",26.1351
"198","2017-01-29",20.9484
"199","2017-02-22",18.0288
"200","2017-03-18",15.6384
"201","2017-05-05",14.7528
"202","2017-07-08",12.5289
"203","2017-08-01",15.6672
"204","2017-09-02",21.5361
"205","2017-09-18",25.4916
"206","2017-10-04",27.5706
"207","2017-10-20",25.4628
"208","2017-11-13",25.8039
"209","2017-11-21",24.6897
"210","2017-11-22",10.2204
"211","2017-11-29",21.4047
"212","2017-12-31",18.3024
"213","2018-02-25",13.1562
"214","2018-04-06",15.363
"215","2018-04-22",17.8983
"216","2018-04-30",19.1655
"217","2018-05-08",15.7734
"218","2018-06-01",12.8241
"219","2018-08-20",24.2028
"220","2018-09-05",22.797
"221","2018-09-13",23.9571
"222","2018-09-21",26.4672
"223","2018-10-07",27.1269
"224","2018-10-15",27.7776
"225","2019-01-11",19.5624
"226","2019-02-28",16.6752
"227","2019-03-08",14.193
"228","2019-04-01",18.5643
"229","2019-04-17",11.0349
"230","2019-05-19",13.698
"231","2019-06-04",13.0527
"232","2019-06-12",12.1257
"233","2019-07-06",12.2409
"234","2019-07-22",14.958
"235","2019-08-23",21.2328
"236","2019-08-31",21.6855
"237","2019-09-08",23.3235
"238","2019-11-11",26.3133
"239","2019-12-29",23.7474
